"year","iso3","country_name_abbreviation","microd","microd_name","import_value_pc"
2020,"TLS","Timor-Leste",1,"Diferenciado","51.0385233677753"
2020,"TLS","Timor-Leste",2,"No diferenciado","48.9614766322247"
2020,"TON","Tonga",1,"Diferenciado","43.3454383287211"
2020,"TON","Tonga",2,"No diferenciado","56.6545616712789"
2020,"TTO","Trinidad and Tobago",1,"Diferenciado","68.8956437067079"
2020,"TTO","Trinidad and Tobago",2,"No diferenciado","31.1043562932921"
2020,"TUN","Tunisia",1,"Diferenciado","61.5504433043394"
2020,"TUN","Tunisia",2,"No diferenciado","38.4495566956606"
2020,"TUR","Türkiye",1,"Diferenciado","47.001741113002"
2020,"TUR","Türkiye",2,"No diferenciado","52.998258886998"
