"anio","exporter_iso3","geonombreFundar","clasificacion_lall","impo","prop"
"2013","NGA","Nigeria","Manufacturas de alta tecnología","0.827","0.000316518907450216"
"2013","SYC","Seychelles","Manufacturas de media tecnología","60.35","100"
"2013","SLE","Sierra Leona","Manufacturas de alta tecnología","7.407","1.13637409674598"
"2013","SLE","Sierra Leona","Manufacturas de media tecnología","1.104","0.169374510977125"
"2013","SOM","Somalia","Manufacturas de media tecnología","7.518","1.74178974804518"
"2013","SDN","Sudán","Productos primarios","238.355","99.8960616589062"
"2013","SWZ","Eswatini","Manufacturas de baja tecnología","28.211","99.0485218734639"
"2013","TGO","Togo","Productos primarios","2.742","100"
"2013","TTO","Trinidad y Tobago","Productos primarios","765448.586","98.8203200990572"
"2013","TTO","Trinidad y Tobago","Manufacturas en basadas en RRNN","175.107","0.0226065213367389"
"2013","TZA","Tanzanía","Productos primarios","201.113","93.0570336575389"
"2013","TZA","Tanzanía","Manufacturas en basadas en RRNN","1.026","0.47474065094069"
"2013","TZA","Tanzanía","Manufacturas de baja tecnología","7.267","3.3625149224035"
"2013","UZB","Uzbekistán","Productos primarios","93.968","9.99772314750387"
"2013","UZB","Uzbekistán","Manufacturas en basadas en RRNN","0.169","0.0179807510208598"
"2013","UZB","Uzbekistán","Manufacturas de baja tecnología","845.733","89.9817426220403"
"2013","YEM","Yemen","Manufacturas de media tecnología","10.782","100"
"2014","BHS","Bahamas","Manufacturas en basadas en RRNN","72.408","1.22359754712696"
"2014","BHS","Bahamas","Manufacturas de baja tecnología","73.451","1.24122284048755"
"2014","BHR","Bahrein","Manufacturas en basadas en RRNN","144.981","14.6441164854767"
"2014","BHR","Bahrein","Manufacturas de baja tecnología","250.582","25.3105717105257"
"2014","ARM","Armenia","Manufacturas en basadas en RRNN","0.372","34.4125809435708"
"2014","BRB","Barbados","Productos primarios","0.146","96.6887417218543"
"2014","MMR","Myanmar","Productos primarios","18.465","0.30537858261669"
"2014","MMR","Myanmar","Manufacturas en basadas en RRNN","64.105","1.06018380929558"
"2014","MMR","Myanmar","Manufacturas de baja tecnología","5933.754","98.1338416526464"
"2014","KHM","Camboya","Manufacturas de alta tecnología","23.381","0.224601668494239"
"2014","KHM","Camboya","Manufacturas de media tecnología","155.505","1.49380618704062"
